link,video_id,harmful,reasoning
https://www.tiktok.com/@temp/video/7531818494866836758,7531818494866836758,harmful,"The description suggests a scenario involving physical assault (""schiaffeggiatore"" translates to ""slapper""), which falls under the category of Harassment and Bullying. This type of content can be harmful, especially to minors, as it may promote or trivialize violent behavior."
https://www.tiktok.com/@temp/video/7525764595445763350,7525764595445763350,harmful,"The phrase ""mi sento male"" translates to ""I feel bad"" in English, which could imply distress or emotional turmoil. This could be related to themes of suicide, self-harm, or mental health struggles, which are considered harmful content, especially for minors."
https://www.tiktok.com/@temp/video/7523193591708044566,7523193591708044566,harmful,"The hashtag ""#takemymind"" could be associated with themes of suicide or self-harm, which are harmful for minors to be exposed to."
https://www.tiktok.com/@temp/video/7530979068397784342,7530979068397784342,harmful,"The video description promotes bungee jumping, which falls under the category of Dangerous Activity and Challenges. Such content can encourage minors to engage in risky behavior without understanding the potential dangers involved."
https://www.tiktok.com/@temp/video/7531304252568767766,7531304252568767766,harmful,"The description discusses the use of expired food products, which falls under 'Dangerous Activity and Challenges' as it poses a health risk. This content could encourage unsafe practices related to food safety, which is harmful, especially for minors."
https://www.tiktok.com/@temp/video/7532044654527794454,7532044654527794454,harmful,"The description contains references to shocking and graphic content, specifically involving threats of violence and terrorism. This type of content can be distressing and is not suitable for minors."
https://www.tiktok.com/@temp/video/7525712193053134088,7525712193053134088,harmful,"The description suggests that playgrounds are dangerous and implies a challenge or activity that could be risky, especially if it is related to the dangerous games depicted in ""Squid Game."" This could encourage minors to engage in unsafe behavior."
https://www.tiktok.com/@temp/video/7533231674411601174,7533231674411601174,harmful,"The description details a tragic accident at an amusement park, involving injuries and a mechanical failure, which could be distressing or shocking for minors."
https://www.tiktok.com/@temp/video/7531415896380771606,7531415896380771606,harmful,"The use of terms like ""video mortificante"" (mortifying video) and the warning symbol ⚠️ suggests that the content may be shocking or graphic, which could be harmful to minors."
https://www.tiktok.com/@temp/video/7525478611101502742,7525478611101502742,harmful,"The mention of ""jagermaister"" suggests the promotion or reference to alcohol, which is considered harmful content for minors."
https://www.tiktok.com/@temp/video/7532481216256298262,7532481216256298262,harmful,"The description suggests that the content may involve extreme sports, which can be dangerous and potentially harmful, especially if minors attempt to imitate such activities without proper guidance or safety measures."
https://www.tiktok.com/@temp/video/7532192446671899926,7532192446671899926,harmful,"The video description includes the ""🔞"" symbol, which typically indicates adult content or age-restricted material. This suggests that the content may involve nudity, body exposure, or sexually suggestive content, which is not suitable for minors."
https://www.tiktok.com/@temp/video/7531421199528709398,7531421199528709398,harmful,"The phrase ""sei in vendita ufficialmente"" translates to ""you are officially for sale,"" which could imply human trafficking or exploitation, making it harmful content."
https://www.tiktok.com/@temp/video/7531848335192476950,7531848335192476950,harmful,"The description suggests a potentially dangerous activity involving young people in an abandoned hotel, which falls under the category of Dangerous Activity and Challenges. This type of content could encourage minors to engage in similar risky behavior."
https://www.tiktok.com/@temp/video/7528575429469326614,7528575429469326614,harmful,"The description suggests that the video may involve a situation that led to a visit to the emergency room, which could imply dangerous or risky behavior that is not suitable for minors."
https://www.tiktok.com/@temp/video/7528729403703037206,7528729403703037206,harmful,"The description suggests engaging in extreme parkour or freerunning, which can be dangerous activities that may encourage risky behavior among viewers, particularly minors."
https://www.tiktok.com/@temp/video/7532468636431322370,7532468636431322370,harmful,"The description discusses weight loss due to anxiety and panic attacks, mentions being underweight, and expresses a desire to return to a lower weight despite acknowledging feeling unwell at that time. This content could promote unhealthy body image and disordered eating behaviors, which is harmful, especially to minors."
https://www.tiktok.com/@temp/video/7531386677319847190,7531386677319847190,harmful,"The phrase ""a puttan e mammt"" is a derogatory term in Italian, which translates to an insult involving someone's mother. This falls under the category of Hate Speech or Behavior, as it promotes offensive and disrespectful language."
https://www.tiktok.com/@temp/video/7533384463401684246,7533384463401684246,harmful,"The mention of ""boiling water"" in a context that suggests it was used inappropriately (e.g., on a car) could encourage dangerous behavior, especially if minors attempt to replicate the action without understanding the risks involved."
