video_id,comment,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit
7527637221105503510,aspettando che Anna risponda,0.0013441797345876694,0.00014810259744990617,0.0013267435133457184,0.00027652253629639745,0.0008665051427669823,0.00039953101077117026,0.000182282630703412
7527637221105503510,“non sono diventato un tiktoker”,0.009987124241888523,0.0004030980635434389,0.009929689578711987,0.001135417027398944,0.006905548274517059,0.00037537148455157876,0.0007907836697995663
7527637221105503510,arti 5 ti adoro dopo Anna pepe,0.0061713396571576595,0.004430114757269621,0.037131551653146744,0.004961253609508276,0.02668358013033867,0.0019508982077240944,0.0012973814737051725
7527637221105503510,ma stanno ancora insieme ?,0.0029042649548500776,0.001697326428256929,0.019186176359653473,0.002200063783675432,0.012744187377393246,0.0012893504463136196,0.0012097256258130074
7527637221105503510,anna e artie come elodie e marra,0.07319476455450058,0.000504976196680218,0.011008228175342083,0.0034554735757410526,0.026892906054854393,0.0004933345480822027,0.0004916192265227437
7527637221105503510,O artie lo mando ad Anna?,0.0018385070143267512,0.00014715929864905775,0.002147377235814929,0.00027577008586376905,0.0011430869344621897,0.0006190912681631744,0.0002784391981549561
7527637221105503510,"L’ho sentita io la frecciatina, figurati Anna",0.6698176264762878,0.0037929019890725613,0.18419158458709717,0.004289782140403986,0.0940290316939354,0.0023625956382602453,0.04938950389623642
7527637221105503510,quanto sei bello,0.029106248170137405,0.00030095790862105787,0.00908886268734932,0.0007643572171218693,0.012705888599157333,0.0003813192015513778,0.0007903772057034075
7527637221105503510,anna sei fortunata [photo],0.009384842589497566,0.0002462164266034961,0.007259866688400507,0.0005359746282920241,0.0050613307394087315,0.0001205133885378018,0.0002284591901116073
7527637221105503510,"""così penseranno che non sono stato io a rompere il generatore di cobblestone""",0.00502255093306303,0.00012429467460606247,0.0017523058922961354,0.00016159478400368243,0.0008900099783204496,0.0013078306801617146,0.00033997237915173173
7526946789207903510,La Chiara facchetti è Paola trane da giovane,0.15107008814811707,0.0006174577865749598,0.018191790208220482,0.0015423621516674757,0.10167858749628067,0.0007832555565983057,0.002496052300557494
7526946789207903510,Perché la ricerca è: che malattia ha chiara facchetti?,0.018780598416924477,4.760168303619139e-05,0.0006498619914054871,0.00016217332449741662,0.012590324506163597,0.0001911788567667827,9.936304559232667e-05
7526946789207903510,CHIARA FACCHETTI A TORRE LAPILLO?,0.9811946749687195,0.01913042925298214,0.1451960951089859,0.009144567884504795,0.10563922673463821,0.012296916916966438,0.042082078754901886
