video_id,link,account,desc,harmful,reasoning,day
7532208154524929302,https://www.tiktok.com/@temp/video/7532208154524929302,,vieni andiamo via io e tu dalla festaaa @domenicoespositooo_ @gioggy,not harmful,"The description appears to be a casual invitation to leave a party, with no indication of harmful content such as disordered eating, self-harm, dangerous activities, or any other categories listed in the harmful content framework.",
7529607971307867447,https://www.tiktok.com/@temp/video/7529607971307867447,,When you don’t know the rules,not harmful,"The description ""When you don’t know the rules"" does not fall under any of the harmful content categories such as disordered eating, self-harm, dangerous activities, or any other listed harmful content. It is vague and does not suggest any harmful behavior or content.",
7526212982758575415,https://www.tiktok.com/@temp/video/7526212982758575415,,French toast #fyp #frenchie,not harmful,"The description appears to be about a type of food, French toast, and does not fall under any of the harmful content categories listed.",
7531673034499837206,https://www.tiktok.com/@temp/video/7531673034499837206,,Non si può 🥹 #boymom,not harmful,"The description ""Non si può 🥹 #boymom"" does not fall under any of the harmful content categories listed. It appears to be a benign expression of emotion, possibly related to parenting, without any indication of harmful content.",
7533569458548329750,https://www.tiktok.com/@temp/video/7533569458548329750,,Quando sei bionica e l’unico problema è che… ogni tanto spruzzi acqua dalla gamba. Letteralmente 💁🏼‍♀️ #bionic #resiliencia #disability #amputee #incidente #protesis,not harmful,"The description discusses a personal experience related to having a prosthetic limb, which is not harmful content. It does not fall under any of the harmful content categories such as disordered eating, self-harm, or dangerous activities. Instead, it promotes resilience and awareness about disability.",
7526278304085675286,https://www.tiktok.com/@temp/video/7526278304085675286,,🛬,not harmful,"The description ""🛬"" does not fall under any of the harmful content categories listed. It appears to be an emoji of an airplane landing, which is not inherently harmful.",
7525764595445763350,https://www.tiktok.com/@temp/video/7525764595445763350,,mi sento male …,harmful,"The phrase ""mi sento male"" translates to ""I feel bad"" in English, which could imply distress or emotional pain. This could be related to self-harm or suicidal thoughts, which is harmful content, especially for minors.",
7533361070161874198,https://www.tiktok.com/@temp/video/7533361070161874198,,Tratto da fatti realmente accaduti 🫣,not harmful,"The description ""Tratto da fatti realmente accaduti"" translates to ""Based on true events"" and does not inherently fall under any of the harmful content categories listed. It does not suggest any harmful behavior or content.",
7531860491245800726,https://www.tiktok.com/@temp/video/7531860491245800726,,MAI E POI MAI HAHAHAH#foryou #viral,not harmful,"The description does not indicate any content related to the harmful categories listed, such as disordered eating, self-harm, dangerous activities, or any other harmful behavior. It appears to be a generic or humorous statement without context suggesting harm.",
7532848173333810455,https://www.tiktok.com/@temp/video/7532848173333810455,,Antonio&Valentina #temtationisland #antonioevalentina #gazebo #perte,not harmful,"The description does not indicate any content related to the harmful categories listed, such as disordered eating, self-harm, dangerous activities, or any other harmful behavior. It appears to be related to a reality TV show or a personal relationship, which is generally not harmful.",
7532540325403970838,https://www.tiktok.com/@temp/video/7532540325403970838,,Abiti con la schiena scoperta per sempreeeeeeee,not harmful,"The description discusses clothing with an open back, which does not fall under any of the harmful content categories such as disordered eating, self-harm, or sexually suggestive content. It is simply a fashion statement.",
7530587705231674646,https://www.tiktok.com/@temp/video/7530587705231674646,,Scilla📍Tutorial : come si pianta l’ombrellone #calabria #scilla #mare #ombrellone #tutorial #massimobellantoni77,not harmful,"The description is about a tutorial on how to plant an umbrella at the beach, which does not fall under any of the harmful content categories listed. It appears to be an informative and benign video.",
7516615886258588950,https://www.tiktok.com/@temp/video/7516615886258588950,,Non me lo aspettavo😱 #challenge #filter,not harmful,"The description suggests a challenge involving a filter, which does not inherently fall under any of the harmful content categories listed. There is no indication of dangerous activity, hate speech, or any other harmful behavior.",
7532105932562517270,https://www.tiktok.com/@temp/video/7532105932562517270,,#perte #friends #voliamoneiperte,not harmful,The description appears to be about friendship and does not fall under any of the harmful content categories listed.,
7531755225275763990,https://www.tiktok.com/@temp/video/7531755225275763990,,#tellingfriendswearedating#reaction,not harmful,"The description suggests a prank or social experiment where someone tells their friends they are dating someone, likely to capture their reactions. This does not fall under any of the harmful content categories listed.",
7526459933156478230,https://www.tiktok.com/@temp/video/7526459933156478230,,Il vento non lo aiutava per niente 🤣@B A G U S,not harmful,"The description does not indicate any content related to the harmful categories listed, such as disordered eating, self-harm, dangerous activities, or any other harmful behavior. It seems to be a light-hearted or humorous comment about the wind.",
7533620398542310678,https://www.tiktok.com/@temp/video/7533620398542310678,,"Jesto ci ha lasciato a 40 anni. La notizia, confermata dal fratello, è arrivata oggi: «Nella notte del 31 luglio ci lascia Justin Jesto Rossi Yamanouchi, astro del rap italiano». Le cause non sono ancora note. #Jesto #rapitaliano #musica #rap #hiphop #musica #italia #outpump #perte",not harmful,"The description is a news update about the passing of a rapper, Jesto, without any mention of harmful content such as disordered eating, suicide, self-harm, or any other categories listed in the harmful content framework. It does not contain graphic details or promote harmful behavior.",
7531730961151692054,https://www.tiktok.com/@temp/video/7531730961151692054,,"Chunky= paffutello, hope this helps 💓",not harmful,"The description does not fall under any of the harmful content categories listed. It appears to be a playful or affectionate comment about body size, which does not inherently promote disordered eating, body image issues, or any other harmful behavior.",
7518088307402722582,https://www.tiktok.com/@temp/video/7518088307402722582,,Still,not harmful,"The description ""Still"" does not provide any context or indication that it falls under any of the harmful content categories listed. Without additional context, it cannot be classified as harmful.",
7532546674804198678,https://www.tiktok.com/@temp/video/7532546674804198678,,Lol einfach 3min gelabert hahahahha @melissa♡,not harmful,"The description does not indicate any content related to the harmful categories listed, such as disordered eating, self-harm, dangerous activities, or any other harmful behavior. It appears to be a lighthearted or humorous comment.",
7530306163804523798,https://www.tiktok.com/@temp/video/7530306163804523798,,"“Quando una cliente ti obbliga a tagliare una chioma da sogno… e alla fine il risultato è così bello che ti ricredi anche tu ✂️🔥 Il cuore piangeva, ma le forbici hanno fatto magia.” ✨ A volte il cambiamento spaventa… ma può sorprenderti! ✨ #HairTransformation #TaglioEstremo #CambioLook #ParrucchiereTikTok #CapelliTop #HairTok #BeforeAndAfter #TaglioCapelli #ColorePerfetto #HairDrama #StoriaVera #FidatiDelParrucchiere #LookDaUrlo #HairMagic",not harmful,"This description discusses a hair transformation and the positive outcome of a haircut, which does not fall under any of the harmful content categories. It promotes change and creativity in hairstyling, which is not harmful to minors.",
7533287854575750423,https://www.tiktok.com/@temp/video/7533287854575750423,,Volano parolacce 😂😂 Criceta monella♥️ #masha #funnyvid #hamstersoftiktok #hamsters #maritomaltrattato #foryoupage❤️❤️ #foryouuuuuuuuuuuuu,not harmful,"The description mentions a funny video involving a hamster and uses playful language. There is no indication of any harmful content such as disordered eating, self-harm, dangerous activities, or any other categories listed in the harmful content framework.",
7533219228753677573,https://www.tiktok.com/@temp/video/7533219228753677573,,"Мужчину, напавшего с ножом на байкера на АЗС в Мерке, приговорили к 11 годам и 3 месяцам лишения свободы Согласно данным Жамбылского областного суда, на территории автозаправочной станции мужчина подкрался сзади к байкеру и без весомой причины дважды ударил его ножом в спину и грудь. Хотя раны оказались неглубокими, действия квалифицировали как покушение на убийство. Уголовное дело рассматривалось по двум статьям: незаконное ношение холодного оружия и покушение на убийство, совершённое из хулиганских побуждений. Обвиняемый свою вину не признал. Прокуратура запрашивала 15 лет лишения свободы и штраф в размере 3,9 млн тенге. Потерпевшая сторона требовала максимального наказания и компенсацию в 11,3 млн тенге. Суд, учитывая наличие у подсудимого детей, назначил наказание в виде 11 лет и 3 месяцев лишения свободы. Кроме того, он обязан выплатить 1,8 млн тенге в качестве морального и материального ущерба. ❗️Уважаемые читатели! Если вы стали свидетелем какого-либо события или вам нужна информационная помощь, а также по вопросам рекламы и сотрудничества, вы можете написать по этому номеру: WhatsApp: +7 776 607 3142",harmful,"The description involves a violent attack with a knife, which is considered shocking and graphic content that could be harmful for minors to view.",
